Stationid,Stationname En,Exitid,Exitname Zh Tw,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,,"exit """
BL11,Ximen,4,西門站出口4,121.509006,25.042203,,TaiwanStation_XiMenXimen,TaiwanStation_XiMenXimen_4,"exit ""TaiwanStation_XiMenXimen_4"" with { short_name ""4"" coords { lat 121.509006; lon 25.042203 } layer 0 }",,,
BL11,Ximen,5,西門站出口5,121.508789,25.042935,,TaiwanStation_XiMenXimen,TaiwanStation_XiMenXimen_5,"exit ""TaiwanStation_XiMenXimen_5"" with { short_name ""5"" coords { lat 121.508789; lon 25.042935 } layer 0 }",,,
BL11,Ximen,6,西門站出口6,121.507602,25.042573,,TaiwanStation_XiMenXimen,TaiwanStation_XiMenXimen_6,"exit ""TaiwanStation_XiMenXimen_6"" with { short_name ""6"" coords { lat 121.507602; lon 25.042573 } layer 0 }",,,
BL13,Shandao Temple,1,善導寺站出口1,121.523009,25.045097,,TaiwanStation_ShanDaoSiShandaoTemple,TaiwanStation_ShanDaoSiShandaoTemple_1,"exit ""TaiwanStation_ShanDaoSiShandaoTemple_1"" with { short_name ""1"" coords { lat 121.523009; lon 25.045097 } layer 0 }",,,
BL13,Shandao Temple,2,善導寺站出口2,121.523053,25.044796,,TaiwanStation_ShanDaoSiShandaoTemple,TaiwanStation_ShanDaoSiShandaoTemple_2,"exit ""TaiwanStation_ShanDaoSiShandaoTemple_2"" with { short_name ""2"" coords { lat 121.523053; lon 25.044796 } layer 0 }",,,
BL13,Shandao Temple,3,善導寺站出口3,121.523734,25.044568,,TaiwanStation_ShanDaoSiShandaoTemple,TaiwanStation_ShanDaoSiShandaoTemple_3,"exit ""TaiwanStation_ShanDaoSiShandaoTemple_3"" with { short_name ""3"" coords { lat 121.523734; lon 25.044568 } layer 0 }",,,
BL13,Shandao Temple,4,善導寺站出口4,121.524217,25.044111,,TaiwanStation_ShanDaoSiShandaoTemple,TaiwanStation_ShanDaoSiShandaoTemple_4,"exit ""TaiwanStation_ShanDaoSiShandaoTemple_4"" with { short_name ""4"" coords { lat 121.524217; lon 25.044111 } layer 0 }",,,
BL13,Shandao Temple,5,善導寺站出口5,121.52482,25.044256,,TaiwanStation_ShanDaoSiShandaoTemple,TaiwanStation_ShanDaoSiShandaoTemple_5,"exit ""TaiwanStation_ShanDaoSiShandaoTemple_5"" with { short_name ""5"" coords { lat 121.52482; lon 25.044256 } layer 0 }",,,
BL13,Shandao Temple,6,善導寺站出口6,121.524898,25.044632,,TaiwanStation_ShanDaoSiShandaoTemple,TaiwanStation_ShanDaoSiShandaoTemple_6,"exit ""TaiwanStation_ShanDaoSiShandaoTemple_6"" with { short_name ""6"" coords { lat 121.524898; lon 25.044632 } layer 0 }",,,
BL14,Zhongxiao Xinsheng,1,忠孝新生站出口1,121.531829,25.042784,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_1,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_1"" with { short_name ""1"" coords { lat 121.531829; lon 25.042784 } layer 0 }",,,
BL14,Zhongxiao Xinsheng,2,忠孝新生站出口2,121.532065,25.042103,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_2,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_2"" with { short_name ""2"" coords { lat 121.532065; lon 25.042103 } layer 0 }",,,
BL14,Zhongxiao Xinsheng,3,忠孝新生站出口3,121.53368,25.041783,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_3,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_3"" with { short_name ""3"" coords { lat 121.53368; lon 25.041783 } layer 0 }",,,
