stationid,kind,id,layer
TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,-1
TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,-2
TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_2,-2
TaiwanStation_SongJiangNanJingSongjiangNanjing,facility,TaiwanStation_SongJiangNanJingSongjiangNanjing_TicketGate_B1_1,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,facility,TaiwanStation_SongJiangNanJingSongjiangNanjing_TicketGate_B1_2,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,facility,TaiwanStation_SongJiangNanJingSongjiangNanjing_TicketGate_B1_3,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,facility,TaiwanStation_SongJiangNanJingSongjiangNanjing_TicketGate_B1_4,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,facility,TaiwanStation_SongJiangNanJingSongjiangNanjing_TicketGate_B1_5,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,facility,TaiwanStation_SongJiangNanJingSongjiangNanjing_TicketGate_B1_6,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,waypoint,TaiwanStation_SongJiangNanJingSongjiangNanjing_Concourse_B1_1,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,waypoint,TaiwanStation_SongJiangNanJingSongjiangNanjing_Concourse_B1_2,-1
TaiwanStation_SongJiangNanJingSongjiangNanjing,waypoint,TaiwanStation_SongJiangNanJingSongjiangNanjing_Concourse_B2_1,-2
TaiwanStation_SongJiangNanJingSongjiangNanjing,waypoint,TaiwanStation_SongJiangNanJingSongjiangNanjing_Concourse_B2_2,-2
